,Unnamed: 0,serieName,extensionCode,extensionUrl,extensionName,extensionImageUrl,extensionReleaseDate,extensionCardNumber
23,23,Sword & Shield Series,S1A,https://jp.pokellector.com/sets/S1A-VMAX-Rising,VMAX Rising Set,https://den-media.pokellector.com/logos/VMAX-Rising.logo.285.png,2020-02-07,70
24,24,Sword & Shield Series,S1H,https://jp.pokellector.com/sets/S1H-Shield,Shield Set,https://den-media.pokellector.com/logos/Shield.logo.284.png,2019-12-06,60
25,25,Sword & Shield Series,S1W,https://jp.pokellector.com/sets/S1W-Sword,Sword Set,https://den-media.pokellector.com/logos/Sword.logo.283.png,2019-12-06,60
26,26,Sword & Shield Series,SP,https://jp.pokellector.com/sets/SP-Sword-Shield-Promos,Sword & Shield Promos Set,https://den-media.pokellector.com/logos/Sword-Shield-Promos.logo.289.png,2019-11-17,276
27,27,Sword & Shield Series,SP4,https://jp.pokellector.com/sets/SP4-Eevee-Heroes-VMAX-Special-Set,Eevee Heroes VMAX Special Set Set,https://den-media.pokellector.com/logos/Eevee-Heroes-VMAX-Special-Set.logo.330.png,2021-06-15,8
28,28,Sword & Shield Series,SP3,https://jp.pokellector.com/sets/SP3-Silver-Lance-Jet-Black-Spirit-Promo-Set,Silver Lance & Jet-Black Spirit Promo Set Set,https://den-media.pokellector.com/logos/Silver-Lance-Jet-Black-Poltergeist-Promo-Set.logo.321.png,2021-04-23,6
29,29,Sword & Shield Series,SP2,https://jp.pokellector.com/sets/SP2-VMAX-Special-Set,VMAX Special Set Set,https://den-media.pokellector.com/logos/VMAX-Special-Set.logo.302.png,2020-10-23,4
30,30,Sun & Moon Series,SM12A,https://jp.pokellector.com/sets/SM12A-Tag-Team-GX-All-Stars,Tag Team GX All Stars Set,https://den-media.pokellector.com/logos/Tag-Team-GX-All-Stars.logo.288.png,2019-10-04,226
31,31,Sun & Moon Series,SM12,https://jp.pokellector.com/sets/SM12-Alter-Genesis,Alter Genesis Set,https://den-media.pokellector.com/logos/Alter-Genesis.logo.281.png,2019-09-06,95
32,32,Sun & Moon Series,SM11B,https://jp.pokellector.com/sets/SM11B-Dream-League,Dream League Set,https://den-media.pokellector.com/logos/Dream-League.logo.278.png,2019-08-02,49
33,33,Sun & Moon Series,SM11A,https://jp.pokellector.com/sets/SM11A-Remix-Bout,Remix Bout Set,https://den-media.pokellector.com/logos/Remix-Bout.logo.272.png,2019-07-05,65
34,34,Sun & Moon Series,SM11,https://jp.pokellector.com/sets/SM11-Miracle-Twins,Miracle Twins Set,https://den-media.pokellector.com/logos/Miracle-Twins.logo.277.png,2019-05-31,94
35,35,Sun & Moon Series,SM10B,https://jp.pokellector.com/sets/SM10B-Sky-Legend,Sky Legend Set,https://den-media.pokellector.com/logos/Sky-Legends.logo.268.png,2019-04-26,54
36,36,Sun & Moon Series,SMP2,https://jp.pokellector.com/sets/SMP2-Detective-Pikachu,Detective Pikachu Set,https://den-media.pokellector.com/logos/Detective-Pikachu.logo.271.png,2019-04-26,24
